Test Set #1
 4 to 10: 3
18 to  7: 1
15 to  4: 3
10 to  5: 4
 3 to 17: 5
 5 to 12: 3
16 to 17: 5
 3 to 16: 2
 2 to 20: 1
18 to 19: 3
16 to  2: 2
17 to 18: 4
 1 to 10: 3
20 to 19: 4
16 to  4: 5
13 to 18: 5
15 to 13: 3
 2 to 16: 2

Test Set #78
18 to 10: 4
19 to  8: 3
 5 to 15: 2
 5 to  7: 3
20 to 12: 2
 5 to 16: 1
11 to 10: 2
 4 to  5: 1
15 to  3: 3
12 to 13: 2
12 to 10: 3
11 to  1: 1
18 to  5: 1
 4 to 12: 3
20 to 14: 3
16 to 11: 2
13 to  9: 1
15 to 16: 3
 4 to  7: 3
11 to 17: 1
17 to 13: 3
12 to  6: 4
 3 to 10: 4

Test Set #79
11 to  5: 3
 4 to 11: 1
13 to 16: 4
14 to  3: 2
19 to 10: 2
15 to  7: 3
17 to 15: 1
14 to 10: 3
16 to 17: 3
12 to 18: 2
 5 to 10: 3
12 to 16: 2
 3 to  9: 3
 6 to 11: 3
12 to 16: 2
20 to 14: 1
 7 to 20: 4
19 to  6: 1
10 to 18: 1
18 to  8: 3
 9 to 20: 4
 9 to 11: 3
20 to 12: 3
17 to  8: 2
 1 to 15: 2
 8 to  7: 2
10 to 14: 3
16 to  1: 1
 6 to  5: 4
14 to 10: 3
13 to  4: 4
 4 to  2: 5
 4 to 10: 3
16 to 11: 3
12 to 20: 3
 4 to  6: 3
16 to 11: 3
12 to 15: 2
12 to  6: 2
13 to 20: 5
 7 to 20: 4
13 to  1: 3
 8 to 17: 2
 6 to  5: 4
20 to 15: 1
 8 to 13: 3
15 to  8: 1
13 to 11: 4
12 to 14: 2
13 to  2: 1
16 to  5: 2
 8 to 18: 3
 9 to 11: 3
15 to 12: 2
 3 to  7: 1
 4 to  3: 2
20 to  4: 3
20 to 15: 1
 5 to 11: 3
17 to  1: 3
 5 to  1: 1
 2 to 19: 4
 2 to 17: 4
 9 to 14: 3
 1 to 17: 3
 2 to 13: 1
10 to 20: 4
15 to  1: 2
 9 to 12: 2
 5 to 13: 4
 3 to 13: 4
18 to 16: 2

Test Set #80
 2 to 16: 1
10 to  1: 2
 7 to 11: 2
16 to  4: 3
17 to 12: 2
10 to 12: 2
12 to  6: 3
 7 to 14: 2
 9 to 10: 3
 7 to  8: 2
11 to 16: 1
14 to  5: 2
15 to  3: 3
 5 to  7: 2
20 to 14: 1
18 to 14: 2
 7 to 14: 2
13 to 16: 3
12 to 20: 1
 7 to 17: 3
 5 to 15: 2
12 to  7: 2
12 to  6: 3
 1 to 16: 2
18 to  9: 3
12 to  1: 1
 2 to  6: 3
17 to  3: 1
 3 to  4: 3
 4 to 18: 2
14 to 13: 4
 1 to 18: 3
 8 to 16: 1
11 to 15: 2
12 to 20: 1
 1 to 19: 2
12 to 10: 2
14 to  2: 2
 9 to 11: 2
 5 to  7: 2
12 to 10: 2
17 to  4: 2
 9 to  2: 3
 7 to 15: 2
 6 to 10: 4
19 to  1: 2
19 to 18: 2
 4 to  6: 5
13 to  4: 2
16 to  6: 2
 8 to 20: 3
 3 to  8: 3
14 to 13: 4
 4 to 10: 1
11 to  7: 2
12 to 19: 1
17 to  2: 2
 5 to 16: 2
17 to  8: 4
 7 to  9: 2
 9 to  6: 3
17 to 10: 3
11 to 20: 3
11 to 13: 4
10 to  1: 2
20 to  1: 2
11 to 10: 3
14 to 16: 3
19 to  2: 2
11 to  5: 2
15 to 13: 2
 7 to  1: 1
16 to 10: 2
 9 to 15: 2
12 to 17: 2
17 to 12: 2

Test Set #81
11 to 14: 5
14 to  1: 2
 3 to  8: 3
 2 to  8: 3
 5 to 20: 4
11 to  5: 5
 1 to 20: 3
17 to  3: 3
16 to  4: 1
 5 to  4: 3
19 to  5: 3
13 to 10: 3
11 to 17: 4
14 to 17: 4
 7 to  8: 3
14 to 11: 5
10 to 11: 2
18 to 19: 2
 3 to 12: 3
19 to  6: 3
18 to 13: 3
 6 to 19: 3
 9 to 13: 2
10 to 16: 2
 3 to 20: 4
11 to 17: 4
 7 to 13: 2
16 to  1: 2
14 to  3: 1
12 to 11: 4
17 to  3: 3
15 to  3: 4
 8 to 12: 3
 5 to  7: 2
14 to  3: 1
19 to  6: 3
16 to  7: 1
 5 to 16: 3
 6 to 11: 3
 4 to  2: 2
17 to  5: 3
20 to  3: 4

Test Set #82
 7 to 18: 2
11 to  4: 3
15 to  6: 3
 7 to 17: 4
15 to 14: 3
 9 to 17: 3
 8 to  5: 2
15 to 13: 1
 7 to  5: 1
18 to  6: 5
 2 to 20: 2
 1 to 20: 2
18 to 10: 1
 2 to 17: 2
 2 to 17: 2
14 to 16: 2
 5 to  7: 1

Test Set #83
17 to  5: 3
10 to 13: 4
18 to  4: 3
19 to  8: 2
16 to 14: 1
15 to 14: 4
 1 to 14: 2
18 to  2: 2
 1 to  8: 5
17 to 19: 2
 7 to 15: 6
 5 to  1: 3
11 to 10: 4
 2 to 15: 4
 7 to 16: 6
17 to 18: 2
 9 to  7: 3
16 to  2: 5
 7 to 11: 5
18 to 11: 3
15 to  8: 6
19 to 15: 4
15 to 20: 3
16 to  7: 6
12 to 18: 1
10 to 15: 3
 9 to 20: 2
11 to 13: 3
19 to 10: 3
10 to  4: 4
15 to  7: 6
20 to 17: 3
 7 to 19: 2
15 to  6: 4
 8 to  1: 5
 6 to 11: 5
15 to 11: 5
13 to 18: 3
18 to 13: 3
10 to  2: 3
 6 to 10: 3
12 to 18: 1
19 to  5: 3
11 to  2: 3
 7 to  6: 6
16 to  6: 5
 7 to 11: 5
11 to 10: 4
10 to 13: 4
10 to  6: 3
 7 to 11: 5
 4 to 19: 1
14 to 19: 3
 5 to 13: 4
18 to  6: 2
 1 to 13: 3
 6 to 16: 5
11 to  5: 4
20 to  3: 3
13 to 17: 2
 4 to 20: 4
17 to  5: 3
11 to 10: 4

Test Set #84
10 to 11: 4

Test Set #85
16 to  5: 2
13 to 16: 3
12 to  2: 3
18 to 15: 3
11 to  3: 3
14 to 15: 3
 1 to 19: 2
10 to 20: 4
20 to  6: 4
17 to 18: 2
10 to 16: 2
 1 to  2: 1
16 to 13: 3
11 to 15: 3
14 to 20: 3
 1 to 11: 1
16 to 19: 3
19 to  3: 2
16 to  9: 3
13 to  9: 3
 5 to  1: 1
 6 to 20: 4
20 to 10: 4
 2 to 17: 4
 5 to  8: 2
11 to 16: 2
16 to 10: 2
10 to 12: 3
12 to  8: 4
20 to  3: 4
16 to  7: 4
19 to  9: 4
 8 to 18: 2
 8 to 13: 1
18 to 15: 3
 9 to  5: 3
10 to  7: 2
19 to 17: 3

Test Set #86
10 to  1: 3
20 to 16: 2
 3 to 16: 1
 9 to 11: 3
 1 to 20: 3
 1 to  3: 2
 1 to  5: 3
 5 to  2: 3
 9 to  2: 1
 2 to  9: 1
 1 to  5: 3
17 to 18: 3
 6 to 11: 3
15 to 13: 1
19 to 10: 2
11 to  3: 3
 5 to  2: 3
 4 to 19: 2
12 to 14: 2
14 to 13: 2
15 to  5: 2
14 to 12: 2
14 to 18: 3
19 to  8: 1
20 to 12: 1
15 to  2: 1
14 to 13: 2
18 to 15: 3
20 to  9: 1
12 to  7: 1
13 to  7: 1
19 to  2: 2
13 to 10: 2
19 to  8: 1

Test Set #87
 1 to 15: 4
10 to 15: 4
 1 to 13: 2
19 to  5: 1
 8 to 14: 2
 5 to 12: 1
11 to  7: 3
12 to 13: 1
16 to  4: 4
 5 to 19: 1
 5 to 13: 1
20 to  4: 2
18 to 13: 1
 3 to 17: 3
15 to 19: 3
14 to  1: 3
19 to 14: 2
 2 to  9: 3
14 to 18: 3
 4 to 12: 1
19 to 15: 3
20 to 16: 4
 5 to  9: 1
11 to  7: 3
 5 to  9: 1
18 to 11: 2
19 to 10: 2
11 to 20: 2
17 to  3: 3
20 to  7: 2
 8 to 20: 3
 9 to  8: 1
 4 to 19: 1
17 to  3: 3
10 to 18: 1
20 to  2: 1
11 to 13: 2
 5 to 18: 2
 5 to 11: 3
12 to 17: 3
11 to  2: 1
18 to 15: 3
10 to  1: 3
10 to  1: 3
 5 to  6: 3
18 to  4: 2
18 to 14: 3
16 to 12: 3
 4 to 16: 4
 7 to 12: 2
11 to 18: 2
 8 to 11: 3
 4 to 14: 3
 7 to  8: 2
17 to  9: 4
 1 to 20: 3
14 to 17: 5
 1 to 10: 3
14 to 11: 5
 9 to 20: 2
14 to  6: 4
 9 to 18: 2
14 to 10: 4
12 to  1: 2
 1 to 19: 2
 1 to  2: 3
 8 to  6: 3
 4 to 12: 1
18 to  1: 3
13 to  2: 1
10 to 15: 4
 1 to  5: 1
13 to  6: 2
16 to  6: 4
 3 to  9: 3
 2 to 11: 1
 4 to 16: 4
16 to  8: 1
15 to 14: 3
 2 to 16: 3
17 to 13: 3
10 to 11: 1
15 to  4: 4
20 to 18: 2
 2 to  8: 2
16 to 17: 5
 2 to  7: 2
 3 to 13: 2
 2 to  7: 2
 5 to  6: 3
 5 to  7: 2

Test Set #88
 3 to  4: 1
 5 to  8: 2
18 to  4: 2
19 to 15: 5
17 to 13: 4
19 to  2: 6
15 to 20: 3
 1 to 20: 2
 6 to 11: 3
11 to  6: 3
13 to  6: 4
16 to  6: 2
 5 to 14: 4
 7 to  5: 3
 2 to 18: 3
 9 to 14: 2
 9 to 19: 5
11 to 20: 1
 2 to  7: 4
12 to  7: 5
 6 to 10: 2
 4 to  7: 3
20 to  7: 2
 2 to 14: 5
20 to  3: 2
 6 to  4: 3
19 to 11: 1
12 to 18: 4
20 to 16: 4
20 to  2: 4
 6 to  4: 3
 3 to 12: 3
17 to 12: 6
20 to 17: 2
14 to  6: 4
16 to 14: 5
10 to 17: 2

Test Set #89
 5 to 10: 2

Test Set #90
16 to 20: 3
11 to 18: 1
 2 to  4: 4
19 to 15: 2
11 to 16: 1
15 to 19: 2
 7 to 16: 2
 4 to 17: 3
16 to 11: 1
20 to  5: 2
18 to 12: 2
19 to 16: 2
18 to 15: 3
13 to 12: 3
15 to 20: 1
16 to  4: 3
 5 to 12: 3
 2 to  7: 3
 9 to  3: 3
18 to 17: 3
 4 to 11: 2
 9 to 15: 3
19 to  3: 4
19 to  2: 3
11 to 20: 3
 3 to 13: 2
13 to 18: 3
13 to  1: 1
12 to 20: 4
 3 to  8: 4
11 to 17: 2
18 to  5: 3
13 to  7: 2
 2 to 17: 2

Test Set #91
 2 to  9: 2
20 to 16: 3
12 to 19: 4
19 to 18: 3
 9 to 14: 2
 3 to 16: 3
15 to 20: 3
 8 to 11: 1
 4 to 10: 3
 3 to 18: 4
19 to 16: 3
20 to  3: 3
11 to  1: 3
 5 to  2: 3
 5 to  2: 3
12 to 17: 4
 9 to  6: 2
 4 to  1: 2
 2 to  9: 2
10 to 11: 3
16 to  3: 3
12 to 19: 4
13 to  2: 3
 3 to 17: 2
10 to  1: 3
13 to 11: 3
13 to  1: 3
16 to 19: 3
17 to 15: 3
11 to 13: 3
 5 to 13: 2
 8 to  5: 2
 8 to 19: 2
 1 to  6: 3
12 to  7: 2
14 to 13: 1
 1 to 16: 4
 6 to 12: 3
12 to 18: 2
14 to 13: 1
14 to  4: 2
20 to 13: 2
 3 to  5: 1
18 to 12: 2
19 to  1: 1
17 to  9: 3
10 to 12: 4
 2 to  6: 3
17 to 10: 3
16 to 20: 3
 3 to 15: 1
 6 to  2: 3
18 to  4: 3
20 to 12: 2
11 to 19: 2
 2 to 12: 3
16 to  4: 2
 6 to 17: 1
 9 to  5: 3
14 to 15: 3
 4 to 10: 3
 9 to  7: 1
 8 to  5: 2
11 to  3: 4
 7 to 16: 1
11 to 17: 3
 6 to  8: 3
20 to 16: 3
18 to 12: 2
 9 to 15: 2
 9 to 11: 1
 6 to  5: 1
 3 to  2: 4
 4 to  5: 3
17 to  5: 1
12 to 10: 4
13 to 15: 4
 7 to  5: 3
 3 to  1: 4
 8 to  6: 3
12 to  7: 2
 6 to  1: 3
 1 to 17: 2
18 to  1: 4
18 to 19: 3
15 to 12: 3
 1 to 12: 5
 3 to 18: 4
 2 to 15: 4
 4 to  9: 2
 3 to 14: 2
 2 to  5: 3
 7 to  1: 3
 7 to 14: 2
15 to  4: 2

Test Set #92
 2 to 20: 1
 1 to 12: 2
 1 to  6: 2
 7 to 10: 2
 6 to 10: 2
10 to 16: 1
 8 to 15: 4
 7 to 10: 2
 2 to 11: 2
17 to 19: 2
 1 to 16: 2
20 to 15: 4
 9 to 18: 2
 8 to 20: 2
14 to 13: 3
 6 to 13: 1
 4 to 10: 3
11 to  9: 2
 8 to  1: 4
 4 to 11: 2
16 to 13: 4
 3 to 11: 1
 6 to 10: 2
17 to  7: 1
19 to  8: 3
17 to  1: 3
20 to  4: 2
10 to  3: 2

Test Set #93
 9 to 15: 2
11 to 12: 2
 9 to 18: 2
18 to 16: 2
 6 to 20: 2
17 to 16: 3
14 to 16: 3
15 to 19: 1
20 to  7: 2
14 to 10: 1
10 to  3: 4
14 to 13: 2
12 to 18: 2
 4 to 10: 2
17 to 11: 3
 9 to  2: 1
 8 to 20: 1
19 to 14: 2
18 to  2: 2
 5 to 16: 2
19 to 10: 3
16 to  2: 2
 3 to 18: 2
13 to 19: 2
10 to 19: 3
 5 to  9: 3
 9 to 17: 2
15 to 19: 1
 6 to 13: 2
17 to 20: 3
 9 to 11: 1
10 to 20: 2
 8 to 16: 3
18 to  9: 2
10 to  5: 4
 9 to 18: 2
13 to 15: 1
11 to 17: 3
 8 to 12: 3
 6 to  4: 4
19 to  4: 3
14 to 18: 1
 4 to  6: 4
16 to  5: 2
15 to 17: 2
11 to 15: 3
 2 to 13: 1
12 to  5: 3
 9 to 11: 1
18 to  1: 2
 6 to 16: 1
 5 to 19: 1
 6 to 11: 3
14 to 12: 3
 4 to 15: 4
16 to  2: 2
12 to  1: 3
20 to  8: 1
 1 to  3: 1
 8 to 13: 2
20 to 13: 2
 5 to  2: 3
 4 to  5: 4
 6 to  5: 3
 7 to  6: 2
 3 to 15: 2
10 to  5: 4
 3 to 14: 3
 4 to 16: 4
10 to 12: 4
 3 to  6: 3
10 to 14: 1
 4 to  6: 4
 4 to 20: 4
12 to 11: 2
 6 to  8: 2
18 to  4: 2
 6 to 13: 2
 2 to 13: 1
17 to  6: 3
 3 to 18: 2
 8 to 15: 1
18 to 19: 1
11 to  3: 3
19 to 20: 2
 5 to 11: 3
19 to 13: 2

Test Set #94
17 to  1: 2
14 to 11: 3
14 to 19: 2
 4 to  9: 3
 6 to  2: 2
11 to  8: 1
 2 to  5: 2
 6 to 10: 1
10 to  3: 1
 6 to 13: 2
14 to  3: 2
10 to 19: 3
 4 to  1: 1
 7 to  8: 1
 4 to 11: 3
 9 to  8: 3
 4 to 13: 4
10 to  1: 3
 3 to 11: 3
10 to 15: 4
16 to 20: 2
18 to 14: 3
 2 to 14: 2
20 to 11: 3
17 to  4: 2
 4 to 18: 4
 6 to 13: 2
 7 to  6: 3
 1 to  3: 2
 7 to  3: 3
 7 to 12: 2
14 to 11: 3
10 to 18: 2
20 to  1: 2
 8 to 18: 2
 1 to 19: 2
13 to  6: 2
17 to  8: 2
19 to 12: 3
 5 to 14: 3
 8 to  6: 2
19 to 11: 3
 4 to  5: 3
 7 to  3: 3
 3 to 16: 1
 3 to 16: 1
11 to  3: 3
 6 to 12: 3
 4 to  8: 2
 8 to 19: 2
19 to  3: 2
 6 to 10: 1
12 to  8: 1
18 to  4: 4
17 to  4: 2
19 to 16: 1
 2 to  5: 2
16 to 15: 2
 1 to  5: 3
18 to  3: 3
19 to 18: 4
 3 to 16: 1
 6 to 10: 1
 9 to  2: 2
 4 to  8: 2
15 to  4: 2
16 to  5: 2
 6 to  4: 3
 8 to  1: 2
 7 to 10: 2
11 to  3: 3
15 to 13: 4
 7 to 18: 3
15 to  7: 2
 9 to  4: 3
17 to  8: 2
15 to  3: 3

Test Set #95
10 to 12: 3
 5 to  2: 2

Test Set #96
13 to  7: 2
19 to 17: 5
18 to  2: 3
18 to  7: 3
15 to  9: 2
16 to  6: 3
 7 to 19: 4
13 to 16: 3
20 to  9: 2
20 to  5: 2
 4 to  5: 2
 2 to 13: 4
10 to  2: 4
10 to  1: 3
 7 to 10: 1
14 to 10: 2
14 to 11: 2
20 to  6: 4
15 to 12: 2
16 to  1: 2
 4 to 15: 2
 2 to  4: 4
15 to  9: 2
 7 to 14: 3
17 to 12: 2
12 to 16: 2
14 to 20: 4
 6 to  4: 4
13 to  8: 3
 6 to 19: 2
18 to  3: 1
15 to 14: 3
 3 to 11: 1
 9 to  5: 1
10 to  2: 4
 6 to 18: 3
 6 to  3: 2
 8 to  9: 2
17 to  4: 3
20 to 16: 3
16 to  4: 3

Test Set #97
16 to  2: 3
 6 to 14: 2
11 to  5: 3
 4 to 11: 3
13 to 15: 5
 6 to 20: 3
 2 to  4: 4
11 to  1: 1
 4 to  1: 2
 8 to 17: 2
 2 to 12: 2
 1 to 15: 3
 5 to  8: 1
 1 to 16: 1
17 to  6: 2
 2 to 16: 3
 2 to 19: 4
10 to  7: 1
 9 to  3: 2
13 to  6: 3
15 to  9: 5
20 to 14: 3
10 to  1: 1
 2 to 16: 3
20 to 18: 4
 5 to 18: 3
12 to  5: 2
 7 to  9: 2
17 to 18: 3
 6 to 11: 3
12 to  7: 1
 4 to 13: 3
15 to  2: 2
14 to 12: 2
 3 to 16: 2
19 to  5: 5
13 to 20: 4
 3 to 14: 3
13 to 16: 2
 2 to 20: 4
 3 to 17: 1
18 to  1: 2
 3 to 13: 3
 3 to 15: 4
17 to  6: 2
17 to 14: 2
 2 to  6: 3
 4 to  7: 2
 7 to  8: 2
 3 to 13: 3
15 to  1: 3
 1 to 13: 3
 1 to  3: 2
 3 to  1: 2
19 to  2: 4
 2 to 13: 4
 3 to 14: 3
13 to 20: 4
20 to 11: 2
19 to 12: 3
13 to 10: 2
11 to  6: 3
19 to  8: 4
 6 to  5: 4
 2 to 17: 3
 1 to 20: 2

Test Set #98
 6 to  2: 2
 8 to 13: 2
16 to 15: 2
 9 to 17: 1
 3 to 17: 2
17 to  5: 3
15 to  9: 1
 2 to 19: 4
18 to 12: 3
14 to 20: 1
 9 to 20: 1
 9 to  4: 3
11 to  1: 1
 3 to 12: 3
 5 to 10: 3
10 to 17: 3
 6 to  4: 1
 4 to  6: 1
16 to 19: 1
11 to 17: 1
 7 to 14: 2
 2 to 14: 3
 4 to 10: 2
11 to  9: 2
13 to 10: 2
 2 to  5: 2
15 to 18: 1
 1 to 17: 2
11 to  9: 2
 9 to 17: 1
18 to 20: 2
14 to 20: 1
16 to 13: 2
17 to  4: 4
10 to 12: 3
16 to 20: 2
 8 to  2: 4
16 to  1: 2
 7 to 19: 3
19 to  6: 2
16 to 11: 2
 4 to 15: 2
 5 to 11: 2
16 to 19: 1
13 to 18: 2
 7 to 10: 3
16 to 19: 1
 8 to 11: 3
 4 to  5: 3
10 to 20: 2
 9 to  8: 3
15 to 19: 2
 4 to 18: 2
18 to 14: 3
 6 to  2: 2
20 to 10: 2
 7 to 19: 3
 6 to  1: 3
 1 to  8: 4
 6 to 19: 2
13 to  6: 1
 7 to 13: 3
13 to 15: 2
18 to 13: 2
 3 to 10: 2
18 to 17: 3
 5 to  7: 4
15 to 19: 2
 2 to 16: 3
 7 to 12: 3
12 to 16: 3
 1 to  4: 4
16 to 10: 2
18 to 11: 2
 5 to 16: 3
14 to 18: 3
17 to 13: 2
13 to  7: 3
11 to  9: 2
11 to  9: 2
 9 to  4: 3
15 to  8: 2
 4 to 19: 3
15 to 12: 2
 3 to  5: 2
14 to 11: 3
 9 to  2: 1
12 to  9: 1
17 to  3: 2
15 to 11: 1
10 to 17: 3
15 to 13: 2
12 to 13: 4
14 to  4: 4

Test Set #99
 8 to 18: 3
14 to 12: 3
 2 to  6: 3
 1 to  7: 2
 8 to 10: 1
 7 to 15: 3
 1 to 12: 1
 5 to  8: 4
 4 to 12: 3
 3 to 12: 1
17 to  1: 3
17 to 18: 3
 4 to  8: 2
18 to 12: 2
 4 to 19: 3
20 to 15: 1
 3 to 17: 5
13 to 20: 4
 6 to 11: 3
 8 to 13: 3
 7 to 16: 4
 3 to 10: 5
17 to 19: 2
16 to  6: 3
 8 to 20: 3
 1 to  5: 2
 9 to 18: 3
14 to  5: 3
15 to  8: 2
 2 to 20: 1
 9 to  8: 4
 2 to 16: 3
 7 to  9: 4
 3 to 14: 4
13 to  8: 3
20 to 17: 2
20 to  7: 2
 1 to 12: 1
20 to  5: 2
18 to  2: 2
16 to 13: 3
12 to  9: 1
 5 to 16: 4
 1 to 11: 4
16 to  4: 2
12 to  6: 4
13 to 20: 4
 5 to  9: 4
 4 to  1: 2
 9 to  8: 4
20 to 16: 2
 1 to  2: 3
14 to 13: 4
 7 to  6: 4
12 to  6: 4
18 to 17: 3
19 to  1: 1
19 to 13: 4

Test Set #100
18 to  3: 3
 5 to  7: 2
13 to 10: 5
 8 to  9: 3
 8 to  1: 2
 6 to  1: 3
 5 to 15: 3
 6 to  5: 3
18 to  4: 3
17 to  9: 5
 4 to 16: 3
 4 to 18: 3
 1 to 17: 4
19 to 17: 4
17 to 15: 4
 8 to 18: 3
19 to 17: 4
10 to  3: 4
 7 to  4: 5
17 to 12: 1
13 to  2: 4
20 to  3: 3
19 to 11: 2
20 to  9: 4
 4 to  2: 4
14 to 10: 2
11 to 10: 1
18 to 20: 3
11 to 18: 1
 4 to 12: 4
 4 to  6: 5
12 to 10: 2
14 to 19: 3
12 to 19: 3
17 to 15: 4
12 to 18: 2
 6 to 12: 1
 4 to 17: 5
11 to  7: 1
16 to 20: 4
 2 to  9: 3
 7 to 10: 1
10 to 18: 2
 8 to 18: 3
 2 to  1: 2
20 to  5: 3
 9 to 14: 2
20 to 14: 4
15 to  2: 3
11 to  7: 1
17 to 12: 1
19 to 18: 2
 2 to 10: 2
14 to  8: 3
 6 to  2: 1
19 to 11: 2
10 to 20: 3
20 to  1: 3
16 to  5: 3

Test Set #101
11 to  6: 4
20 to 19: 2
15 to 11: 1
 3 to 12: 3
 8 to 19: 2
15 to  9: 3
20 to 15: 3
20 to 16: 3
13 to 19: 1
 3 to 11: 3
13 to 16: 3
 6 to  1: 3
16 to 19: 4
17 to 15: 2
16 to 10: 2
10 to  7: 3
 1 to  5: 1
10 to 13: 3
 8 to 12: 3
 9 to  6: 3
16 to 18: 2
 5 to 17: 1
 6 to 20: 4
 4 to  1: 2
16 to 18: 2
19 to  1: 3
15 to 10: 2
14 to 16: 1
 8 to 18: 4
 4 to 17: 3
 4 to 16: 3
12 to 19: 5
 6 to  9: 3
 8 to  2: 3
 4 to 13: 3
 6 to 18: 3
10 to 11: 3
13 to  7: 1
 1 to 14: 3
 8 to 17: 4
14 to 18: 3
14 to 15: 4
18 to 12: 1
 8 to  5: 3
13 to  7: 1
20 to 15: 3
14 to 15: 4
15 to  7: 4
16 to  7: 3
17 to 18: 3
20 to 14: 3
17 to  2: 3
 3 to 13: 2
 1 to  9: 2
19 to  4: 3
17 to  1: 2
20 to  3: 3
10 to  9: 2
 5 to 16: 1
 4 to  5: 2
 2 to 10: 1
11 to 14: 4
17 to 18: 3
13 to  4: 3

Test Set #102
 3 to 18: 3
17 to 19: 5
 1 to 12: 4
19 to  2: 2
12 to 10: 3
 4 to  7: 4
16 to 20: 2
17 to 10: 3
 6 to 14: 4
 3 to 20: 3
20 to 10: 3
15 to 14: 3
12 to  6: 2
 2 to 19: 2
19 to 17: 5
 5 to  4: 3
 3 to  9: 4
17 to 16: 2
11 to 12: 5
 3 to  7: 4
 9 to 13: 3
11 to  4: 4
 3 to  8: 4
20 to 11: 5
14 to 17: 4
 3 to 18: 3
 5 to  9: 6
 1 to 18: 4
 9 to 14: 2
10 to  2: 4
12 to  4: 2
20 to  8: 4
18 to 20: 1
 3 to  9: 4
 2 to  7: 4
20 to  4: 3
18 to 13: 3

Test Set #103
14 to 15: 4
 4 to 18: 3
 5 to  9: 1
17 to  1: 2
 5 to 13: 1
13 to 12: 1
10 to 15: 3
13 to 11: 3
14 to 13: 2
11 to 18: 3
19 to 17: 1
11 to  4: 3
 1 to 18: 3
20 to  1: 3
 2 to 13: 4
 5 to 11: 2
19 to  3: 4
15 to 13: 2
17 to 19: 1
13 to  9: 2
12 to 19: 1
 4 to 12: 3
15 to 10: 3
10 to 12: 2
20 to 14: 5
 8 to  5: 3
 8 to 11: 4
20 to  9: 4
 2 to 13: 4
 4 to  9: 2
17 to  7: 2
14 to 13: 2
 6 to  8: 4
11 to 10: 5
12 to  4: 3
 5 to  9: 1
14 to  7: 4
15 to 12: 1
 8 to 16: 3
11 to 16: 4
20 to  9: 4
 9 to  3: 2
14 to  5: 3
19 to 13: 2
 5 to  6: 2
14 to 10: 5
 1 to  4: 5
12 to 14: 3
10 to 18: 4
20 to 15: 4
14 to  3: 5
17 to 10: 3
14 to 16: 4
11 to 16: 4
20 to  8: 4
10 to  8: 1
 1 to 11: 4
20 to 18: 4
 9 to 20: 4
13 to  5: 1
15 to 13: 2
14 to  4: 4
 3 to 16: 5
15 to 18: 3
14 to 19: 3
12 to  4: 3
 1 to  3: 5
13 to 11: 3
20 to 14: 5
 8 to  7: 2
20 to 10: 5
 3 to  5: 3
18 to 17: 1
19 to  8: 2
20 to 14: 5
 8 to 12: 1
 6 to  4: 3
15 to 20: 4
10 to 19: 3
10 to 17: 3
 5 to  3: 3
 8 to  5: 3
 4 to  5: 1
 5 to  6: 2
 3 to 14: 5
 2 to 18: 4
15 to 17: 2
 4 to  5: 1
12 to  5: 2

Test Set #104
 3 to  2: 3
16 to  4: 4
10 to 15: 6
 4 to 14: 2
19 to  8: 1
 7 to 15: 3
15 to  3: 6
13 to 19: 3
14 to  4: 2
12 to  5: 4
17 to 16: 3
13 to 15: 4
13 to 14: 3
 7 to 12: 2
16 to  7: 3
 2 to 17: 2
 2 to 13: 2
17 to 15: 1
 3 to 18: 4
 2 to  9: 1
18 to  8: 4
 1 to 10: 3
12 to 20: 3
18 to 17: 4
 6 to 18: 4
 1 to  5: 2
 4 to 11: 2
18 to  4: 3
 7 to 13: 2
10 to 15: 6
13 to 15: 4
14 to 12: 3
11 to  1: 3
20 to 14: 1
 2 to  4: 3
 5 to 11: 3
16 to  6: 3
11 to 19: 2
13 to 11: 1
 9 to 17: 1
14 to 11: 2
16 to 17: 3
 8 to 13: 4
13 to 15: 4
 8 to 14: 3
10 to  2: 3
10 to 15: 6
10 to  5: 1
19 to  4: 3
 3 to 16: 4
 6 to 20: 4
 5 to  2: 2
 2 to 13: 2
19 to  9: 2
20 to  2: 2
10 to 17: 5
17 to 20: 4
17 to  3: 5
 7 to  1: 4
17 to  4: 5
 6 to 18: 4
 5 to 13: 4
17 to 19: 3
15 to  1: 5
15 to 19: 4
10 to  5: 1
 9 to 18: 3
17 to 16: 3
 2 to  4: 3
16 to 11: 2
10 to 20: 1

Test Set #105
19 to  4: 3
 7 to 20: 3
12 to  6: 4
17 to 20: 2
 8 to 16: 3
19 to  7: 2
19 to  5: 3
 5 to  7: 1
 4 to 16: 6
13 to 18: 1
 7 to 17: 3
 5 to  8: 5
 7 to 15: 4
12 to  8: 3
20 to  4: 4
 6 to  1: 4
20 to  7: 3
 6 to  3: 6
 7 to 18: 2
17 to 15: 3
11 to  4: 4
20 to 19: 3
 5 to 16: 6
12 to 13: 1
 1 to  7: 4
 9 to 15: 1
12 to  7: 2

Test Set #106
 2 to  6: 3
17 to 12: 4
17 to  9: 4
 4 to  3: 2
17 to  7: 4
15 to 19: 4
 6 to  7: 4
 2 to 15: 4
18 to  7: 2
 9 to  1: 3
14 to 13: 4
18 to 15: 3
 2 to 13: 4
 8 to 16: 5
10 to  7: 3
16 to 17: 4
 1 to  8: 6
